Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/protocols.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/protocols.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/protocols.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/protocols.eda.nokia.com/v1/aggregateroutes,GET,com.nokia.eda.protocols.v1.AggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v1/bgpgroups,GET,com.nokia.eda.protocols.v1.BGPGroupList,,false,false,false
/apps/protocols.eda.nokia.com/v1/bgppeers,GET,com.nokia.eda.protocols.v1.BGPPeerList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultaggregateroutes,GET,com.nokia.eda.protocols.v1.DefaultAggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultbgpgroups,GET,com.nokia.eda.protocols.v1.DefaultBGPGroupList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultbgppeers,GET,com.nokia.eda.protocols.v1.DefaultBGPPeerList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultospfareadeployments,GET,com.nokia.eda.protocols.v1.DefaultOSPFAreaDeploymentList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultospfareas,GET,com.nokia.eda.protocols.v1.DefaultOSPFAreaList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultospfinstancedeployments,GET,com.nokia.eda.protocols.v1.DefaultOSPFInstanceDeploymentList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultospfinstances,GET,com.nokia.eda.protocols.v1.DefaultOSPFInstanceList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultospfinterfaces,GET,com.nokia.eda.protocols.v1.DefaultOSPFInterfaceList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultroutereflectorclients,GET,com.nokia.eda.protocols.v1.DefaultRouteReflectorClientList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultroutereflectors,GET,com.nokia.eda.protocols.v1.DefaultRouteReflectorList,,false,false,false
/apps/protocols.eda.nokia.com/v1/defaultstaticroutes,GET,com.nokia.eda.protocols.v1.DefaultStaticRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes,DELETE,com.nokia.eda.protocols.v1.AggregateRouteList,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes,GET,com.nokia.eda.protocols.v1.AggregateRouteList,aggregate_route_list,true,true,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes,POST,com.nokia.eda.protocols.v1.AggregateRoute,aggregate_route,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/_deleted,GET,com.nokia.eda.protocols.v1.AggregateRoute_DeletedResources,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name},DELETE,Status,aggregate_route,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name},GET,com.nokia.eda.protocols.v1.AggregateRoute,aggregate_route,true,true,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name},PATCH,Patch,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name},PUT,com.nokia.eda.protocols.v1.AggregateRoute,aggregate_route,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/aggregateroutes/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups,DELETE,com.nokia.eda.protocols.v1.BGPGroupList,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups,GET,com.nokia.eda.protocols.v1.BGPGroupList,bgp_group_list,true,true,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups,POST,com.nokia.eda.protocols.v1.BGPGroup,bgp_group,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/_deleted,GET,com.nokia.eda.protocols.v1.BGPGroup_DeletedResources,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name},DELETE,Status,bgp_group,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name},GET,com.nokia.eda.protocols.v1.BGPGroup,bgp_group,true,true,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name},PATCH,Patch,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name},PUT,com.nokia.eda.protocols.v1.BGPGroup,bgp_group,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgpgroups/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers,DELETE,com.nokia.eda.protocols.v1.BGPPeerList,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers,GET,com.nokia.eda.protocols.v1.BGPPeerList,bgp_peer_list,true,true,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers,POST,com.nokia.eda.protocols.v1.BGPPeer,bgp_peer,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers/_deleted,GET,com.nokia.eda.protocols.v1.BGPPeer_DeletedResources,,false,false,false
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers/{name},DELETE,Status,bgp_peer,true,false,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers/{name},GET,com.nokia.eda.protocols.v1.BGPPeer,bgp_peer,true,true,true
/apps/protocols.eda.nokia.com/v1/namespaces/{namespace}/bgppeers/{name},PATCH,Patch,,false,false,false
